"","...1","nest","site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","final_obs","nest_age","lost"
"23","9",30010,"RUTE","LETE","29.75705","-93.11244","fenced",37,NA,NA,28,28,32,NA,2,NA,NA,"2021",32,"0",TRUE,0,4,18,"D",NA,FALSE
"24","10",30011,"RUTW","LETE","29.77003","-93.17354","none",37,5,20,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,18,NA,NA,FALSE
"25","10",30011,"RUTW","LETE","29.77003","-93.17354","none",37,5,20,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,18,NA,NA,FALSE
"26","11",30012,"RUTW","LETE","29.77016","-93.17475","none",40,35,30,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,21,NA,NA,FALSE
"27","11",30012,"RUTW","LETE","29.77016","-93.17475","none",40,35,30,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,21,NA,NA,FALSE
"28","12",30013,"RUTW","LETE","29.77093","-93.17643","none",44,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,25,NA,NA,FALSE
"29","12",30013,"RUTW","LETE","29.77093","-93.17643","none",44,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,25,NA,NA,FALSE
"30","13",30014,"RUTW","LETE","29.77118","-93.17663","none",40,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,21,NA,NA,FALSE
"31","13",30014,"RUTW","LETE","29.77118","-93.17663","none",40,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,21,NA,NA,FALSE
"32","14",30015,"RUTW","LETE","29.77140","-93.17717","none",39,0,0,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,20,NA,NA,FALSE
"33","14",30015,"RUTW","LETE","29.77140","-93.17717","none",39,0,0,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,20,NA,NA,FALSE
"34","15",30016,"RUTW","LETE","29.77094","-93.17862","none",44,15,10,NA,NA,NA,NA,2,NA,NA,"2021",25,"1",NA,1,0,25,NA,NA,FALSE
"35","15",30016,"RUTW","LETE","29.77094","-93.17862","none",44,15,10,NA,NA,NA,NA,2,NA,NA,"2021",31,"0",NA,0,6,25,NA,NA,FALSE
"36","16",30017,"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",28,"1",FALSE,1,0,28,NA,NA,FALSE
"37","16",30017,"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",36,"1",FALSE,0,8,28,NA,NA,FALSE
"38","16",30017,"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",40,"1",FALSE,0,4,28,NA,NA,FALSE
"39","16",30017,"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",43,"1",FALSE,0,3,28,NA,NA,FALSE
"40","16",30017,"RUTE","LETE","29.75930","-93.12078","fenced",47,NA,NA,28,49,49,NA,1,NA,NA,"2021",49,"1",TRUE,0,6,28,"1C",NA,FALSE
"41","17",30018,"RUTE","LETE","29.75696","-93.11217","fenced",48,NA,NA,28,28,32,TRUE,2,2,30,"2021",28,"1",FALSE,1,0,29,NA,1,FALSE
"42","17",30018,"RUTE","LETE","29.75696","-93.11217","fenced",48,NA,NA,28,28,32,TRUE,2,2,30,"2021",32,"0",TRUE,0,4,29,"D",1,FALSE
"43","18",30019,"RUTE","LETE","29.75695","-93.11207","fenced",50,NA,NA,28,28,32,NA,2,NA,NA,"2021",28,"1",FALSE,1,0,31,NA,NA,FALSE
"44","18",30019,"RUTE","LETE","29.75695","-93.11207","fenced",50,NA,NA,28,28,32,NA,2,NA,NA,"2021",32,"0",TRUE,0,4,31,"D",NA,FALSE
"45","19",30020,"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",28,"1",FALSE,1,0,31,NA,NA,FALSE
"46","19",30020,"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",32,"1",FALSE,0,4,31,NA,NA,FALSE
"47","19",30020,"RUTE","LETE","29.75692","-93.11185","fenced",50,NA,NA,28,32,40,NA,0,NA,NA,"2021",40,"0",TRUE,0,8,31,"0E",NA,FALSE
"48","21",30022,"RUTW","LETE","29.77077","-93.17834","none",37,NA,NA,NA,NA,NA,NA,3,NA,NA,"2021",31,"1",NA,1,0,18,NA,NA,FALSE
"49","21",30022,"RUTW","LETE","29.77077","-93.17834","none",37,NA,NA,NA,NA,NA,NA,3,NA,NA,"2021",36,"0",NA,0,5,18,NA,NA,FALSE
"50","23",30024,"RUTW","LETE","29.76968","-93.17146","none",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",31,"1",NA,1,0,17,NA,NA,FALSE
"51","23",30024,"RUTW","LETE","29.76968","-93.17146","none",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",36,"1",NA,0,5,17,NA,NA,FALSE
"52","23",30024,"RUTW","LETE","29.76968","-93.17146","none",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",39,"0",NA,0,3,17,NA,NA,TRUE
"53","24",30025,"RUTE","LETE","29.75857","-93.11860","fenced",47,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,"1",FALSE,1,0,28,NA,NA,FALSE
"54","24",30025,"RUTE","LETE","29.75857","-93.11860","fenced",47,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,"0",TRUE,0,4,28,"0E",NA,FALSE
"55","25",30026,"RUTE","LETE","29.75835","-93.11852","fenced",41,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,"1",FALSE,1,0,22,NA,NA,FALSE
"56","25",30026,"RUTE","LETE","29.75835","-93.11852","fenced",41,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,"0",TRUE,0,4,22,"0E",NA,FALSE
"57","26",30027,"RUTE","LETE","29.75739","-93.11407","fenced",43,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,"1",FALSE,1,0,24,NA,NA,FALSE
"58","26",30027,"RUTE","LETE","29.75739","-93.11407","fenced",43,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,"0",TRUE,0,4,24,"0E",NA,FALSE
"59","27",30028,"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",32,"1",NA,1,0,17,NA,NA,FALSE
"60","27",30028,"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",36,"1",NA,0,4,17,NA,NA,FALSE
"61","27",30028,"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",40,"0",NA,0,4,17,NA,NA,FALSE
"62","29",30030,"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",32,"1",NA,1,0,17,NA,NA,FALSE
"63","29",30030,"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",36,"0",NA,0,4,17,NA,NA,FALSE
"64","29",30030,"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",40,"0",NA,0,4,17,NA,NA,FALSE
"65","30",30031,"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",40,"1",FALSE,1,0,38,NA,NA,FALSE
"66","30",30031,"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",49,"1",FALSE,0,9,38,NA,NA,FALSE
"67","30",30031,"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",54,"0",TRUE,0,5,38,"0E",NA,FALSE
"68","31",30032,"RUTE","LETE","29.75837","-93.11912","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",40,"1",FALSE,1,0,38,NA,NA,FALSE
"69","31",30032,"RUTE","LETE","29.75837","-93.11912","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",49,"0",TRUE,0,9,38,"0E",NA,FALSE
"70","32",30033,"RUTE","LETE","29.75826","-93.11914","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",40,"1",FALSE,1,0,38,NA,NA,FALSE
"71","32",30033,"RUTE","LETE","29.75826","-93.11914","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",49,"0",TRUE,0,9,38,"0E",NA,FALSE
"72","33",30034,"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",40,"1",FALSE,1,0,36,NA,NA,FALSE
"73","33",30034,"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",43,"1",FALSE,0,3,36,NA,NA,FALSE
"74","33",30034,"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",49,"0",TRUE,0,6,36,"0E",NA,FALSE
"75","35",30036,"RUTE","LETE","29.75943","-93.12212","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,43,NA,NA,FALSE
"76","35",30036,"RUTE","LETE","29.75943","-93.12212","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,43,"0E",NA,FALSE
"77","36",30037,"RUTE","LETE","29.75912","-93.12135","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,42,NA,NA,FALSE
"78","36",30037,"RUTE","LETE","29.75912","-93.12135","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,42,"0E",NA,FALSE
"79","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",49,"1",FALSE,1,0,51,NA,16,FALSE
"80","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",54,"1",FALSE,0,5,51,NA,16,FALSE
"81","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",58,"1",FALSE,0,4,51,NA,16,FALSE
"82","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",62,"1",FALSE,0,4,51,NA,16,FALSE
"83","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",66,"1",FALSE,0,4,51,NA,16,FALSE
"84","37",30038,"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",69,"1",TRUE,0,3,51,"2C",16,FALSE
"85","38",30039,"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",49,"1",FALSE,1,0,43,NA,NA,FALSE
"86","38",30039,"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",54,"1",FALSE,0,5,43,NA,NA,FALSE
"87","38",30039,"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",58,"1",FALSE,0,4,43,NA,NA,FALSE
"88","38",30039,"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",62,"1",FALSE,0,4,43,NA,NA,FALSE
"89","38",30039,"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",66,"1",TRUE,0,4,43,"0E",NA,FALSE
"90","39",30040,"RUTE","LETE","29.75829","-93.11883","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,45,NA,NA,FALSE
"91","39",30040,"RUTE","LETE","29.75829","-93.11883","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,45,"0E",NA,FALSE
"92","40",30041,"RUTE","LETE","29.75750","-93.11543","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,42,NA,NA,FALSE
"93","40",30041,"RUTE","LETE","29.75750","-93.11543","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,42,"0E",NA,FALSE
"94","41",30042,"RUTE","LETE","29.75739","-93.11505","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,43,NA,NA,FALSE
"95","41",30042,"RUTE","LETE","29.75739","-93.11505","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,43,"0E",NA,FALSE
"96","42",30043,"RUTE","LETE","29.75745","-93.11416","fenced",66,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,47,NA,NA,FALSE
"97","42",30043,"RUTE","LETE","29.75745","-93.11416","fenced",66,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,47,"0E",NA,FALSE
"98","43",30044,"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",49,"1",NA,1,0,45,NA,NA,FALSE
"99","43",30044,"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",54,"1",NA,0,5,45,NA,NA,FALSE
"100","43",30044,"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,"1",NA,0,4,45,NA,NA,FALSE
"101","43",30044,"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,"1",NA,0,4,45,NA,NA,FALSE
"102","43",30044,"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,"0",NA,0,4,45,NA,NA,FALSE
"103","44",30045,"RUTE","LETE","29.75551","-93.10636","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",49,"1",FALSE,1,0,45,NA,NA,FALSE
"104","44",30045,"RUTE","LETE","29.75551","-93.10636","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",54,"0",TRUE,0,5,45,"0E",NA,FALSE
"105","48",30049,"RUTE","LETE","29.75954","-93.12215","fenced",58,0,0,54,54,58,NA,2,NA,NA,"2021",54,"1",FALSE,1,0,39,NA,NA,FALSE
"106","48",30049,"RUTE","LETE","29.75954","-93.12215","fenced",58,0,0,54,54,58,NA,2,NA,NA,"2021",58,"0",TRUE,0,4,39,"0E",NA,FALSE
"107","49",30050,"RUTW","LETE","29.76812","-93.1627","none",57,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,38,NA,NA,FALSE
"108","49",30050,"RUTW","LETE","29.76812","-93.1627","none",57,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,38,NA,NA,FALSE
"109","50",30051,"RUTW","LETE","29.76852","-93.16399","none",73,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,54,NA,NA,FALSE
"110","50",30051,"RUTW","LETE","29.76852","-93.16399","none",73,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,54,NA,NA,FALSE
"111","51",30052,"RUTW","LETE","29.76946","-93.16882","none",59,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,40,NA,NA,FALSE
"112","51",30052,"RUTW","LETE","29.76946","-93.16882","none",59,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,40,NA,NA,FALSE
"113","52",30053,"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",55,"1",NA,1,0,56,NA,NA,FALSE
"114","52",30053,"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",58,"1",NA,0,3,56,NA,NA,FALSE
"115","52",30053,"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",62,"1",NA,0,4,56,NA,NA,FALSE
"116","52",30053,"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",66,"1",NA,0,4,56,NA,NA,FALSE
"117","52",30053,"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",71,"0",NA,0,5,56,NA,NA,FALSE
"118","53",30054,"RUTW","LETE","29.76978","-93.17125","none",70,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,51,NA,NA,FALSE
"119","53",30054,"RUTW","LETE","29.76978","-93.17125","none",70,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,51,NA,NA,FALSE
"120","54",30055,"RUTW","LETE","29.77011","-93.17284","none",69,0,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,50,NA,NA,FALSE
"121","54",30055,"RUTW","LETE","29.77011","-93.17284","none",69,0,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,50,NA,NA,FALSE
"122","55",30056,"RUTW","LETE","29.77108","-93.17836","none",71,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,52,NA,NA,FALSE
"123","55",30056,"RUTW","LETE","29.77108","-93.17836","none",71,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,"0",NA,0,3,52,NA,NA,FALSE
"124","56",30057,"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,"1",NA,1,0,40,NA,NA,FALSE
"125","56",30057,"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,"1",NA,0,3,40,NA,NA,FALSE
"126","56",30057,"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",62,"0",NA,0,4,40,NA,NA,FALSE
"127","61",30062,"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,"1",NA,1,0,42,NA,NA,FALSE
"128","61",30062,"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,"1",NA,0,4,42,NA,NA,FALSE
"129","61",30062,"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,"0",NA,0,4,42,NA,NA,FALSE
"130","62",30063,"RUTW","LETE","29.76798","-93.16164","none",76,0,0,NA,NA,NA,NA,5,NA,NA,"2021",58,"1",NA,1,0,57,NA,NA,FALSE
"131","62",30063,"RUTW","LETE","29.76798","-93.16164","none",76,0,0,NA,NA,NA,NA,5,NA,NA,"2021",62,"1",NA,0,4,57,NA,NA,FALSE
"132","63",30064,"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",58,"1",NA,1,0,57,NA,NA,FALSE
"133","63",30064,"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",62,"1",NA,0,4,57,NA,NA,FALSE
"134","63",30064,"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",66,"0",NA,0,4,57,NA,NA,FALSE
"135","64",30065,"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,"1",NA,1,0,NA,NA,NA,FALSE
"136","64",30065,"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,"1",NA,0,4,NA,NA,NA,FALSE
"137","64",30065,"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,"1",NA,0,4,NA,NA,NA,FALSE
"138","64",30065,"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",71,"0",NA,0,5,NA,NA,NA,FALSE
"139","65",30066,"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",58,"1",FALSE,1,0,43,NA,NA,FALSE
"140","65",30066,"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",62,"1",FALSE,0,4,43,NA,NA,FALSE
"141","65",30066,"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",66,"1",FALSE,0,4,43,NA,NA,FALSE
"142","65",30066,"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",69,"1",TRUE,0,3,43,"1E",NA,FALSE
"143","66",30067,"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,"1",NA,1,0,52,NA,NA,FALSE
"144","66",30067,"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,"1",NA,0,4,52,NA,NA,FALSE
"145","66",30067,"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,"1",NA,0,4,52,NA,NA,FALSE
"146","66",30067,"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",69,"1",NA,0,3,52,NA,NA,FALSE
"147","66",30067,"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",74,"0",NA,0,5,52,NA,NA,FALSE
"148","67",30068,"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",58,"1",FALSE,1,0,43,NA,NA,FALSE
"149","67",30068,"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",62,"1",FALSE,0,4,43,NA,NA,FALSE
"150","67",30068,"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",66,"0",TRUE,0,4,43,"0E",NA,FALSE
"151","68",30069,"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",58,"1",FALSE,1,0,48,NA,NA,FALSE
"152","68",30069,"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",62,"1",FALSE,0,4,48,NA,NA,FALSE
"153","68",30069,"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",66,"1",FALSE,0,4,48,NA,NA,FALSE
"154","68",30069,"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",69,"1",TRUE,0,3,48,"1C",NA,FALSE
"155","69",30070,"RUTE","LETE","29.75644","-93.10940","fenced",67,0,NA,NA,NA,NA,NA,7,NA,NA,"2021",58,"1",NA,1,0,48,NA,NA,FALSE
"156","69",30070,"RUTE","LETE","29.75644","-93.10940","fenced",67,0,NA,NA,NA,NA,NA,7,NA,NA,"2021",62,"0",NA,0,4,48,NA,NA,FALSE
"157","71",30072,"RUTE","LETE","29.75867","-93.11887","fenced",75,0,0,62,69,74,NA,0,NA,NA,"2021",62,"1",FALSE,1,0,56,NA,NA,FALSE
