"site","species","lat","lon","prot","estHD","cov_1m","cov_5m","i","j","k","camera","final_fate","cam_fate","fate_date","year","season_day","status","last_obs","same_ID","obs_int","init_date","nest_age"
"RUTW","LETE","29.77077","-93.17834","none",37,NA,NA,NA,NA,NA,NA,3,NA,NA,"2021",31,1,NA,1,0,18,NA
"RUTW","LETE","29.77077","-93.17834","none",37,NA,NA,NA,NA,NA,NA,3,NA,NA,"2021",36,0,NA,0,5,18,NA
"RUTW","LETE","29.77040","-93.17586","none",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021",31,1,NA,1,0,29,NA
"RUTW","LETE","29.77040","-93.17586","none",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021",36,0,NA,0,5,29,NA
"RUTW","LETE","29.76968","-93.17146","none",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",31,1,NA,1,0,17,NA
"RUTW","LETE","29.76968","-93.17146","none",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",36,1,NA,0,5,17,NA
"RUTE","LETE","29.75857","-93.11860","fenced",47,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,1,FALSE,1,0,28,NA
"RUTE","LETE","29.75857","-93.11860","fenced",47,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,0,TRUE,0,4,28,NA
"RUTE","LETE","29.75835","-93.11852","fenced",41,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,1,FALSE,1,0,22,NA
"RUTE","LETE","29.75835","-93.11852","fenced",41,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,0,TRUE,0,4,22,NA
"RUTE","LETE","29.75739","-93.11407","fenced",43,NA,NA,32,32,36,NA,2,NA,NA,"2021",32,1,FALSE,1,0,24,NA
"RUTE","LETE","29.75739","-93.11407","fenced",43,NA,NA,32,32,36,NA,2,NA,NA,"2021",36,0,TRUE,0,4,24,NA
"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",32,1,NA,1,0,17,NA
"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",36,1,NA,0,4,17,NA
"RUTE","LETE","29.75674","-93.11127","fenced",36,NA,NA,NA,NA,NA,NA,7,NA,NA,"2021",40,0,NA,0,4,17,NA
"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",32,1,NA,1,0,17,NA
"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",36,0,NA,0,4,17,NA
"RUTE","LETE","29.75646","-93.10894","fenced",36,0,0,NA,NA,NA,NA,7,NA,NA,"2021",40,0,NA,0,4,17,NA
"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",40,1,FALSE,1,0,38,NA
"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",49,1,FALSE,0,9,38,NA
"RUTE","LETE","29.75900","-93.12201","fenced",57,0,0,40,49,54,NA,2,NA,NA,"2021",54,0,TRUE,0,5,38,NA
"RUTE","LETE","29.75837","-93.11912","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",40,1,FALSE,1,0,38,NA
"RUTE","LETE","29.75837","-93.11912","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",49,0,TRUE,0,9,38,NA
"RUTE","LETE","29.75826","-93.11914","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",40,1,FALSE,1,0,38,NA
"RUTE","LETE","29.75826","-93.11914","fenced",57,0,0,40,40,49,NA,0,NA,NA,"2021",49,0,TRUE,0,9,38,NA
"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",40,1,FALSE,1,0,36,NA
"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",43,1,FALSE,0,3,36,NA
"RUTE","LETE","29.75599","-93.10834","fenced",55,0,0,40,43,49,NA,2,NA,NA,"2021",49,0,TRUE,0,6,36,NA
"RUTE","LETE","29.75943","-93.12212","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,43,NA
"RUTE","LETE","29.75943","-93.12212","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,43,NA
"RUTE","LETE","29.75912","-93.12135","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,42,NA
"RUTE","LETE","29.75912","-93.12135","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,42,NA
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",49,1,FALSE,1,0,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",54,1,FALSE,0,5,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",58,1,FALSE,0,4,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",62,1,FALSE,0,4,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",66,1,FALSE,0,4,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",69,1,TRUE,0,3,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",74,0,FALSE,0,5,51,16
"RUTE","CONI","29.75887","-93.12070","fenced",NA,2,1,49,69,69,FALSE,1,1,67,"2021",78,0,FALSE,0,4,51,16
"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",49,1,FALSE,1,0,43,NA
"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",54,1,FALSE,0,5,43,NA
"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",58,1,FALSE,0,4,43,NA
"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",62,1,FALSE,0,4,43,NA
"RUTE","LETE","29.75872","-93.12014","fenced",62,0,0,49,66,66,NA,1,NA,NA,"2021",66,1,TRUE,0,4,43,NA
"RUTE","LETE","29.75829","-93.11883","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,45,NA
"RUTE","LETE","29.75829","-93.11883","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,45,NA
"RUTE","LETE","29.75750","-93.11543","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,42,NA
"RUTE","LETE","29.75750","-93.11543","fenced",61,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,42,NA
"RUTE","LETE","29.75739","-93.11505","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,43,NA
"RUTE","LETE","29.75739","-93.11505","fenced",62,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,43,NA
"RUTE","LETE","29.75745","-93.11416","fenced",66,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,47,NA
"RUTE","LETE","29.75745","-93.11416","fenced",66,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,47,NA
"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",49,1,NA,1,0,45,NA
"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",54,1,NA,0,5,45,NA
"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,1,NA,0,4,45,NA
"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,1,NA,0,4,45,NA
"RUTE","LETE","29.75649","-93.11044","fenced",64,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,0,NA,0,4,45,NA
"RUTE","LETE","29.75551","-93.10636","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",49,1,FALSE,1,0,45,NA
"RUTE","LETE","29.75551","-93.10636","fenced",64,0,0,49,49,54,NA,0,NA,NA,"2021",54,0,TRUE,0,5,45,NA
"RUTE","LETE","29.75954","-93.12215","fenced",58,0,0,54,54,58,NA,2,NA,NA,"2021",54,1,FALSE,1,0,39,NA
"RUTE","LETE","29.75954","-93.12215","fenced",58,0,0,54,54,58,NA,2,NA,NA,"2021",58,0,TRUE,0,4,39,NA
"RUTW","LETE","29.76812","-93.1627","none",57,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,38,NA
"RUTW","LETE","29.76812","-93.1627","none",57,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,38,NA
"RUTW","LETE","29.76852","-93.16399","none",73,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,54,NA
"RUTW","LETE","29.76852","-93.16399","none",73,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,54,NA
"RUTW","LETE","29.76946","-93.16882","none",59,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,40,NA
"RUTW","LETE","29.76946","-93.16882","none",59,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,40,NA
"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",55,1,NA,1,0,56,NA
"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",58,1,NA,0,3,56,NA
"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",62,1,NA,0,4,56,NA
"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",66,1,NA,0,4,56,NA
"RUTW","LETE","29.7695","-93.16927","none",75,0,0,NA,NA,NA,NA,1,NA,NA,"2021",71,0,NA,0,5,56,NA
"RUTW","LETE","29.76978","-93.17125","none",70,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,51,NA
"RUTW","LETE","29.76978","-93.17125","none",70,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,51,NA
"RUTW","LETE","29.77011","-93.17284","none",69,0,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,50,NA
"RUTW","LETE","29.77011","-93.17284","none",69,0,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,50,NA
"RUTW","LETE","29.77108","-93.17836","none",71,0,0,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,52,NA
"RUTW","LETE","29.77108","-93.17836","none",71,0,0,NA,NA,NA,NA,2,NA,NA,"2021",58,0,NA,0,3,52,NA
"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",55,1,NA,1,0,40,NA
"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",58,1,NA,0,3,40,NA
"RUTW","LETE","29.77129","-93.1795","none",59,NA,NA,NA,NA,NA,NA,2,NA,NA,"2021",62,0,NA,0,4,40,NA
"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,1,NA,1,0,42,NA
"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,1,NA,0,4,42,NA
"RUTW","LETE","29.76759","-93.15884","none",61,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,0,NA,0,4,42,NA
"RUTW","LETE","29.76798","-93.16164","none",76,0,0,NA,NA,NA,NA,5,NA,NA,"2021",58,1,NA,1,0,57,NA
"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",58,1,NA,1,0,57,NA
"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",62,1,NA,0,4,57,NA
"RUTW","LETE","29.76838","-93.16361","none",76,0,0,NA,NA,NA,NA,0,NA,NA,"2021",66,0,NA,0,4,57,NA
"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,1,NA,1,0,NA,NA
"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,1,NA,0,4,NA,NA
"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,1,NA,0,4,NA,NA
"RUTW","LETE","29.76958","-93.1685","none",NA,0,0,NA,NA,NA,NA,7,NA,NA,"2021",71,0,NA,0,5,NA,NA
"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",58,1,FALSE,1,0,43,NA
"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",62,1,FALSE,0,4,43,NA
"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",66,1,FALSE,0,4,43,NA
"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",69,1,TRUE,0,3,43,NA
"RUTE","LETE","29.75922","-93.12305","fenced",62,0,0,58,69,69,NA,1,NA,NA,"2021",78,0,FALSE,0,9,43,NA
"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",58,1,NA,1,0,52,NA
"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,1,NA,0,4,52,NA
"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,1,NA,0,4,52,NA
"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",69,1,NA,0,3,52,NA
"RUTE","LETE","29.75822","-93.11711","fenced",71,0,0,NA,NA,NA,NA,7,NA,NA,"2021",74,0,NA,0,5,52,NA
"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",58,1,FALSE,1,0,43,NA
"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",62,1,FALSE,0,4,43,NA
"RUTE","LETE","29.75801","-93.11697","fenced",62,0,0,58,62,66,NA,2,NA,NA,"2021",66,0,TRUE,0,4,43,NA
"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",58,1,FALSE,1,0,48,NA
"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",62,1,FALSE,0,4,48,NA
"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",66,1,FALSE,0,4,48,NA
"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",69,1,TRUE,0,3,48,NA
"RUTE","LETE","29.75776","-93.11603","fenced",67,0,0,58,69,69,NA,1,NA,NA,"2021",78,0,FALSE,0,9,48,NA
"RUTE","LETE","29.75644","-93.10940","fenced",67,0,NA,NA,NA,NA,NA,7,NA,NA,"2021",58,1,NA,1,0,48,NA
"RUTE","LETE","29.75644","-93.10940","fenced",67,0,NA,NA,NA,NA,NA,7,NA,NA,"2021",62,0,NA,0,4,48,NA
"RUTE","LETE","29.75867","-93.11887","fenced",75,0,0,62,69,74,NA,0,NA,NA,"2021",62,1,FALSE,1,0,56,NA
"RUTE","LETE","29.75867","-93.11887","fenced",75,0,0,62,69,74,NA,0,NA,NA,"2021",66,1,FALSE,0,4,56,NA
"RUTE","LETE","29.75867","-93.11887","fenced",75,0,0,62,69,74,NA,0,NA,NA,"2021",69,1,FALSE,0,3,56,NA
"RUTE","LETE","29.75867","-93.11887","fenced",75,0,0,62,69,74,NA,0,NA,NA,"2021",74,0,TRUE,0,5,56,NA
"RUTE","LETE","29.75640","-93.10984","fenced",75,0,0,NA,NA,NA,NA,7,NA,NA,"2021",62,1,NA,1,0,56,NA
"RUTE","LETE","29.75640","-93.10984","fenced",75,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,0,NA,0,4,56,NA
"RUTW","LETE","29.76923","-93.16721","none",69,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,1,NA,1,0,50,NA
"RUTW","LETE","29.76923","-93.16721","none",69,0,0,NA,NA,NA,NA,7,NA,NA,"2021",71,0,NA,0,5,50,NA
"RUTW","LETE","29.77058","-93.17419","none",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",66,1,NA,1,0,59,NA
"RUTW","LETE","29.77058","-93.17419","none",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",71,1,NA,0,5,59,NA
"RUTW","LETE","29.77058","-93.17419","none",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",74,1,NA,0,3,59,NA
"RUTW","LETE","29.77058","-93.17419","none",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",83,0,NA,0,9,59,NA
"RUTW","LETE","29.77165","-93.17779","none",78,0,0,NA,NA,NA,NA,NA,NA,NA,"2021",66,1,NA,1,0,59,NA
"RUTW","LETE","29.77165","-93.17779","none",78,0,0,NA,NA,NA,NA,NA,NA,NA,"2021",71,0,NA,0,5,59,NA
"RUTW","LETE","29.77201","-93.1814","none",72,1,1,NA,NA,NA,NA,NA,NA,NA,"2021",66,1,NA,1,0,53,NA
"RUTW","LETE","29.77201","-93.1814","none",72,1,1,NA,NA,NA,NA,NA,NA,NA,"2021",71,0,NA,0,5,53,NA
"RUTE","LETE","29.75788","-93.11641","fenced",75,0,0,NA,NA,NA,NA,7,NA,NA,"2021",69,1,NA,1,0,56,NA
"RUTE","LETE","29.75788","-93.11641","fenced",75,0,0,NA,NA,NA,NA,7,NA,NA,"2021",74,1,NA,0,5,56,NA
"RUTE","LETE","29.75788","-93.11641","fenced",75,0,0,NA,NA,NA,NA,7,NA,NA,"2021",78,0,NA,0,4,56,NA
"RUTE","LETE","29.75638","-93.11006","fenced",73,0,0,69,69,74,NA,2,NA,NA,"2021",69,1,FALSE,1,0,54,NA
"RUTE","LETE","29.75638","-93.11006","fenced",73,0,0,69,69,74,NA,2,NA,NA,"2021",74,0,TRUE,0,5,54,NA
"RUTE","LETE","29.75616","-93.10882","fenced",73,1,5,69,69,74,NA,2,NA,NA,"2021",69,1,FALSE,1,0,54,NA
"RUTE","LETE","29.75616","-93.10882","fenced",73,1,5,69,69,74,NA,2,NA,NA,"2021",74,0,TRUE,0,5,54,NA
"RUTW","LETE","29.77167","-93.17757","none",80,20,15,NA,NA,NA,NA,NA,NA,NA,"2021",66,1,NA,1,0,61,NA
"RUTW","LETE","29.77167","-93.17757","none",80,20,15,NA,NA,NA,NA,NA,NA,NA,"2021",71,0,NA,0,5,61,NA
"RUTE","LETE","29.75618","-93.10878","fenced",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",69,1,NA,1,0,59,NA
"RUTE","LETE","29.75618","-93.10878","fenced",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",74,1,NA,0,5,59,NA
"RUTE","LETE","29.75618","-93.10878","fenced",78,0,0,NA,NA,NA,NA,7,NA,NA,"2021",78,0,NA,0,4,59,NA
"RUTW","LETE","29.76954","-93.16965","none",85,0,0,NA,NA,NA,NA,0,NA,NA,"2021",71,1,NA,1,0,66,NA
"RUTW","LETE","29.76954","-93.16965","none",85,0,0,NA,NA,NA,NA,0,NA,NA,"2021",74,1,NA,0,3,66,NA
"RUTW","LETE","29.76954","-93.16965","none",85,0,0,NA,NA,NA,NA,0,NA,NA,"2021",83,0,NA,0,9,66,NA
"RUTW","LETE","29.77162","-93.17829","none",89,0,0,NA,NA,NA,NA,2,NA,NA,"2021",71,1,NA,1,0,70,NA
"RUTW","LETE","29.77162","-93.17829","none",89,0,0,NA,NA,NA,NA,2,NA,NA,"2021",74,1,NA,0,3,70,NA
"RUTW","LETE","29.77162","-93.17829","none",89,0,0,NA,NA,NA,NA,2,NA,NA,"2021",83,0,NA,0,9,70,NA
