,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,125,128,131,134,138,141,145,148,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,RUTW,LETE,29.77003,-93.17354,none,5/20/2021,Y,5,20,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 7d, 4d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RUTW,LETE,29.77016,-93.17475,none,5/23/2021,Y,35,30,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"3E, 1d, 4d, 4d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RUTW,LETE,29.77093,-93.17643,none,5/27/2021,Y,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RUTW,LETE,29.77118,-93.17663,none,5/23/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"3E, 1d, 4d, 4d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,RUTW,LETE,29.77140,-93.17717,none,5/22/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"2E, 3d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RUTW,LETE,29.77094,-93.17862,none,5/27/2021,Y,15,10,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RUTE,LETE,29.75930,-93.12078,fenced,5/30/2021,,,,unk,,,41,62,62,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,,,2E,,,,2E,,,2E,,,,,,"1C, 1E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RUTE,LETE,29.75696,-93.11217,fenced,5/31/2021,,,,unk,,coyote,41,41,45,,Y,N,N,D,D,5/13/2021,,,,,,,,,,,,,,,,,,,,,,"2E, 2d",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,RUTE,LETE,29.75695,-93.11207,fenced,6/2/2021,,,,unk,,coyote,41,41,45,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RUTE,LETE,29.75692,-93.11185,fenced,6/2/2021,,,,unk,,,41,45,53,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,BON,,,,,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,BROW,WIPL,29.77532,-93.28207,none,6/2/2021,N,,,M: 2J F: 4H,,,44,44,50,20 May: nest washed away,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 5d",,,,,,"0E, S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RUTW,LETE,29.77077,-93.17834,none,5/20/2021,N,0%,0%,unk,,,,,,storm surge,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 13d",,,,,"0E, S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RUTW,LETE,29.77040,-93.17586,none,5/31/2021,N,,,unk,,,,,,washed out from rain; possibly buried by a couple inches of sand accumulation,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d",,,,,"0E, W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RUTW,LETE,29.76968,-93.17146,none,5/19/2021,N,,,unk,,,,,,"the nest was scheduled to hatch, but no chicks seen. could have washed away, as there was no scrape left and the whole area was saturated",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 14d, 14d, 7d",,,,,3E,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,RUTE,LETE,29.75857,-93.11860,fenced,5/30/2021,N,0%,0%,unk,,coyote,45,45,49,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 3d",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RUTE,LETE,29.75835,-93.11852,fenced,5/24/2021,N,0%,0%,unk,,coyote,45,45,49,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 7d",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RUTE,LETE,29.75739,-93.11407,fenced,5/26/2021,N,0%,0%,unk,,coyote,45,45,49,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 8d, 7d",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RUTE,LETE,29.75674,-93.11127,fenced,5/19/2021,N,0%,0%,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,2E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RUTE,WIPL,29.75671,-93.10953,fenced,6/5/2021,Y,,,no,,,45,49,53,"coyote tracks seen, but likely washed out",,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 9d",,,,3E,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RUTE,LETE,29.75646,-93.10894,fenced,5/19/2021,N,0,0,unk,,,,,,19 May: no eggs seen but could have hatched,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 15d, 15d, 7d",,,,"0E, U",,,,"0E, W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,RUTE,LETE,29.75900,-93.12201,fenced,6/9/2021,N,0,0,unk,,coyote,53,62,67,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 1d",,,,,,,,,BON,,,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RUTE,LETE,29.75837,-93.11912,fenced,6/9/2021,N,0,0,unk,,,53,53,62,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 1d",,,,,,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,RUTE,LETE,29.75826,-93.11914,fenced,6/9/2021,N,0,0,unk,,,53,53,62,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 2d",,,,,,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RUTE,LETE,29.75599,-93.10834,fenced,6/7/2021,N,0,0,unk,,coyote,53,56,62,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 2d",,,2E,,,,,,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,RUTE,WIPL,29.75503,-93.10593,fenced,6/12/2021,Y,90,80,no,,,56,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 9d, 10d, 11d",,,,,,3E,,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RUTE,LETE,29.75943,-93.12212,fenced,6/14/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d, 6d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RUTE,LETE,29.75912,-93.12135,fenced,6/13/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 4d, 4d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RUTE,CONI,29.75887,-93.12070,fenced,6/15/2021?,Y,2,1,unk,yes (2),,62,82,82,"6/21: 1-4 days old (9.7g, 7.6g). 6/30: 2 chicks, banded and weighed",?,,,H,H,6/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 2d?",,,,,2E,,,,2E,,,,2E,,,,2E,,,2C,,,,BON,,,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RUTE,LETE,29.75872,-93.12014,fenced,6/14/2021,N,0,0,unk,,,62,79,79,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 6d",,,,,3E,,,,3E,,,,3E,,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RUTE,LETE,29.75829,-93.11883,fenced,6/16/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 3d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RUTE,LETE,29.75750,-93.11543,fenced,6/13/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 5d, 4d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RUTE,LETE,29.75739,-93.11505,fenced,6/14/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 6d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RUTE,LETE,29.75745,-93.11416,fenced,6/18/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 2d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,RUTE,LETE,29.75649,-93.11044,fenced,6/16/2021,N,0,0,unk,,,,,,"coyote tracks in area, but could have hatched",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 1d, 4d, 4d",,,,,3E,,,,3E,,,,3E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,RUTE,LETE,29.75551,-93.10636,fenced,6/16/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 4d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,HBRB,LETE,29.76544,-93.37804,none,6/17/2021,N,,,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 3d",,,,,,2E,,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,HBRB,LETE,29.76532,-93.37680,none,6/14/2021,N,,,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 7d",,,,,,2E,,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,HBRB,LETE,29.76528,-93.37669,none,6/21/2021,N,,,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 1d",,,,,,2E,,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RUTE,LETE,29.75954,-93.12215,fenced,6/10/2021,N,0,0,unk,,coyote,67,67,71,"nest stick was knocked out, but coyote tracks were in the area",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 15d",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RUTW,LETE,29.76812,-93.1627,none,6/9/2021,N,<5,<5,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 17d, 15d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,RUTW,LETE,29.76852,-93.16399,none,6/25/2021,N,0,0,unk,,coyote,,,,"nest stick was knocked out, probably by coyote",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,RUTW,LETE,29.76946,-93.16882,none,6/11/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 7d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RUTW,LETE,29.7695,-93.16927,none,6/27/2021,N,0,0,unk,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d, 9d",,,2E,,,,2E,,,,"1E, 1C (1d)",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,RUTW,LETE,29.76978,-93.17125,none,6/22/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 4d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,RUTW,LETE,29.77011,-93.17284,none,6/21/2021,N,0,<1,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d, 4d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,RUTW,LETE,29.77108,-93.17836,none,6/23/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 2d",,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,RUTW,LETE,29.77129,-93.1795,none,6/11/2021,N,<1,<1,unk,,coyote,,,,scat found in nest cup! ,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 13d, 15d",,,3E,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,HBRB,LETE,29.76541,-93.37804,none,6/12/2021,N,,,unk,,,69,78,78,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,,,,,,"1E, 1C",,,,,"0E, 1C",,2C,,,0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
