,,,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,69,71,72,73,74,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,107,108,109,110,112,113,114,115,116,117,121,122,125,115,116,117,118,121,122,125,,,,,,,,
10,RUTW,LETE,29.76166,-93.13636,none,5/17/2019,Y,0,5,,,,,27,44,47,wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.,,,F,,,,,,,,,,,,"1E, 1d",,,,,BON,,,2E,BON,,,BON,,,,,"1E, cracked BON active",,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,RUTW,LETE,29.76155,-93.13574,none,5/16/2019,Y,0,5,,,,,,,,,,,U,,,,,,,,,,,,"1E, 1d",,,,,BON,,,1E,BON,,,BON,,,,1E,BON,,,,,BON,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RUTW,LETE,29.76781,-93.16521,none,5/17/2019,,0,0,,,,,29,50,50,,,,H,,,,,,,,,,,,,,2E,,,,2E,,,2E,,,,,,,,,2E,,,,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RUTW,WIPL,29.76876,-93.17068,none,5/27/2019,,10,15,,,,,29,50,50," adults present, ""nesty"". could not find nest in veg",,,H,,,,,,,,,,,,,,2E,,,,cannot locate,,,cannot locate,,,,,,,,,?,,,,,"1E, can hear cheeping and little taps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ROJH,LETE,29.63622,-92.76917,symbolic,5/21/2019,,0,0,,,,unknown,30,30,36,"empty scrape, coyote and GC evidence around",,,D,,,,,,,,,,,,,,,1E,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ROJH,LETE,29.63618,-92.76921,symbolic,5/20/2019,,0,0,,,,unknown,30,30,36,"empty scrape, coyote and GC evidence around",,,D,,,,,,,,,,,,,,,2E,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ROJH,LETE,29.63626,-92.76968,symbolic,5/21/2019,,0,0,,,,unknown,30,30,36,"empty scrape, coyote and GC evidence around",,,D,,,,,,,,,,,,,,,1E,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ROJH,CONI,29.6363,-92.77002,symbolic,5/17/2019,,0,0,,,,,30,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,1E,,,,,,2E,,2E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ROJH,WIPL,29.63759,-92.76788,symbolic,,,0,0,Y2,,,unknown,30,30,36,"GC hole nearby, but unsure of predator type. the pair is scraping and preparing for a renest.",,,D,,,,,,,,,,,,,,,"3E, 1-9d, 2-5d",,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ROCK,WIPL,29.66025,-92.82622,none,6/2/2019,Y,0,0,,,,,33,33,41,strong south winds and storms ,,,S,,,,,,,,,,,,,,,,,,1E,,,,,"high water, could not check nest",,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ROCK,CONI,29.66985,-92.85088,none,5/18/2019,Y,5,10,,,,,33,38,41,strong south winds and storms ,,,S,,,,,,,,,,,,,,,,,,"2E, 2-3d",,,,,2E,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RUTW,LETE,29.7615,-93.13543,symbolic,5/22/2019,N,,,,,,,35,44,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",NA,,,BON,,,BON,3E,BON,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RUTW,LETE,29.7615,-93.13557,symbolic,5/22/2019,N,,,,,,,35,44,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,2E,"2E, replaced stick",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RUTW,LETE,29.76149,-93.1356,symbolic,5/23/2019,N,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,"2E, 4d, 1d",BON,,,BON,,,BON,3E,3E,,,,,BON,,,,2E,,,BON,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RUTW,LETE,29.76149,-93.13569,symbolic,5/23/2019,N,,,,,,,35,49,53,,,,Ca,,,,,,,,,,,,,,,,,,,,1E,BON,,,BON,,,BON,3E,BON,,,,,3E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,RUTW,LETE,29.76152,-93.13572,symbolic,5/23/2019,N,,,,,,,35,43,49,,,,Ca,,,,,,,,,,,,,,,,,,,,1E,BON,,,BON,,,BON,2E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RUTW,LETE,29.76153,-93.13573,symbolic,5/22/2019,N,,,,,,,35,43,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,2E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RUTW,LETE,29.76156,-93.13577,symbolic,5/22/2019,N,,,,,,,35,43,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,3E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RUTW,LETE,29.76158,-93.13583,symbolic,5/22/2019,N,,,,,,,35,43,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,3E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RUTW,LETE,29.76157,-93.13584,symbolic,5/23/2019,N,,,,,,,35,43,49,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 4d",BON,,,BON,,,BON,2E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RUTW,LETE,29.76156,-93.13586,symbolic,5/22/2019,N,,,,,,,35,42,43,trampled overnight by herd of cattle observed in fenced area on 13 May,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,RUTW,LETE,29.76174,-93.13648,symbolic,5/23/2019,N,,,,,,,35,42,43,trampled overnight by herd of cattle observed in fenced area on 13 May,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 4d",BON,,,BON,,,BON,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RUTW,LETE,29.76186,-93.13681,symbolic,5/25/2019,N,,,,,,,35,44,47,trampled by cattle,,,Ca,,,,,,,,,,,,,,,,,,,,1E,NA,,,3E,,,BON,,BON,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,RUTW,LETE,29.76199,-93.13726,symbolic,5/25/2019,N,,,,,,,35,42,44,trampled overnight by herd of cattle observed in fenced area on 13 May,,,Ca,,,,,,,,,,,,,,,,,,,,1E,2E,,,3E,,,"BON, 3E",,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,RUTW,LETE,29.76195,-93.1374,symbolic,5/25/2019,N,,,,,,,35,42,44,trampled overnight by herd of cattle observed in fenced area on 13 May,,,Ca,,,,,,,,,,,,,,,,,,,,1E,BON,,,BON,,,BON,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,RUTW,LETE,29.76203,-93.13754,symbolic,5/23/2019,N,,,,,,,35,55,55,cattle disturbance on May 13; 5/23: stick knocked over,,,H,,,,,,,,,,,,,,,,,,,,"2E, 1d",BON,,,BON,,,BON,,"3E, 9-10d, replaced stick",,,,,BON,,,,3E,,"BON, hatch day",,,"3C, 2-3d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,RUTW,LETE,29.76206,-93.13769,symbolic,5/25/2019,N,,,,,,,35,58,58,,,,H,,,,,,,,,,,,,,,,,,,,1E,1E,,,2E,,,BON,,3E,,,,,BON,,,,3E,,BON,3E,,"hatching, 3E",1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RUTW,LETE,29.7621,-93.13808,symbolic,5/22/2019,N,,,,,,,35,42,44,trampled overnight by herd of cattle observed in fenced area on 13 May,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1-2d",BON,,,BON,,,BON,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RUTW,LETE,29.76242,-93.13933,none,5/20/2019,N,,,,,,,35,49,53,"5/23: SB found stick, nest has 3 trampled eggs",,,Ca,,,,,,,,,,,,,,,,,,,,"3E, 4d, 1d, 1d",did not see,,,3E,,,BON,,BON,,,,,3E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RUTW,LETE,29.7624,-93.13937,none,5/25/2019,N,,,,,,unknown,35,39,42,,,,F,,,,,,,,,,,,,,,,,,,,1E,BON,,,3E,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RUTW,LETE,29.76239,-93.13967,none,5/20/2019,N,,,,,,,35,39,42,,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 4d, 1d",BON,,,3E,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RUTW,LETE,29.76243,-93.13976,none,5/25/2019,N,,,,,,,35,39,42,,,,Ca,,,,,,,,,,,,,,,,,,,,1E,BON,,,2E,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RUTW,LETE,29.76249,-93.13992,none,5/25/2019,N,,,,,,,35,39,42,,,,Ca,,,,,,,,,,,,,,,,,,,,1E,NA,,,1E,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RUTW,LETE,29.76261,-93.14024,none,5/17/2019,N,,,,,,,35,35,39,9-May loose egg spotted outside of nest scrape. Cattle tracks all around the area and no LETE activity here,,,Ca,,,,,,,,,,,,,,,,,,,,"3E, 7d, 7d, 4d",NA,,,"1E, failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,RUTW,LETE,29.76262,-93.14032,none,5/20/2019,N,,,,,,,35,35,39,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 4d",NA,,,"0E, failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,RUTW,LETE,29.76262,-93.14041,none,5/22/2019,N,,,,,,,35,35,39,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 1d",NA,,,"0E, failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,RUTW,LETE,29.76352,-93.14488,none,5/22/2019,N,0,0,,,,,35,35,39,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.,,,S,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,RUTW,LETE,29.76375,-93.14532,none,5/25/2019,N,,,,,,,35,43,49,,Y,N,Ca,H,5/19/2019,bird was there until just before Katie pulled camera on day 13 (1/2 3:11AM - 1/15 10:20AM),"camera ""347"" may actually be 047 (see stick in photos). Bird was on nest/in area until <1 hr before katie picked up camera - odd",,,,,,,,,,,,,,,,2E,,,,3E,,,,3E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,RUTW,LETE,29.76377,-93.14546,none,5/25/2019,N,,,,,,,,,,28 May- KBB adult above me. No nest stick or eggs. Possibly chick but heavy Memorial day traffic did a lot of damage to this area.,,,U,,,,,,,,,,,,,,,,,,,,1E,,,,2E,,,,3E,,,,,,3E,,,,2E,,,,,"no stick, eggs, chicks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RUTW,LETE,29.76381,-93.14569,none,5/20/2019,N,,,,,,,,,,28 May- likely failed from Memorial Day traffic,,,U,,,,,,,,,,,,,,,,,,,,"2E, 4d, 1d",,,,2E,,,,2E,2E,,,,,1E,,,,1E,,,,,"no stick, eggs, chicks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RUTW,LETE,29.76383,-93.14576,none,5/24/2019,N,,,,,,,35,35,39,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.,,,A,,,,,,,,,,,,,,,,,,,,1E,,,,"failed, 1E slight ooze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,RUTW,LETE,29.76386,-93.1458,none,5/23/2019,N,,,,,,,35,39,43,"empty scrape, unknown cause no evidence confirming cause of failure",,,F,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,3E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,RUTW,LETE,29.76404,-93.14674,none,5/20/2019,N,,,,,,,35,39,43,"empty scrape, unknown cause no evidence confirming cause of failure",,,F,,,,,,,,,,,,,,,,,,,,"3E, 4d, 4d, 1d",,,,3E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RUTW,LETE,29.76409,-93.14695,none,5/20/2019,N,,,,,,,35,39,43,cattle tracks all through the nest area,,,Ca,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,2E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,RUTW,LETE,29.76433,-93.14821,none,5/23/2019,N,,,,,,coyote,35,39,43,"coyote tracks at the nest, pictures from 13May",,,D,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,2E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,RUTW,LETE,29.76453,-93.14896,none,5/20/2019,N,,,,,,coyote,35,39,43,"coyote tracks at the nest, pictures from 13May",,,D,,,,,,,,,,,,,,,,,,,,"3E, 4d",,,,3E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,RUTW,LETE,29.76455,-93.14906,none,5/24/2019,N,,,,,,ghost crab,35,39,43,ghost crab hole at nest- pictures from 13 May,,,D,,,,,,,,,,,,,,,,,,,,1E,,,,"1E, 4d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ROJH,LETE,29.63619,-92.76887,symbolic,5/21/2019,Y,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"3E, 4d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ROJH,LETE,29.63622,-92.76918,symbolic,5/21/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,2E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ROJH,LETE,29.63626,-92.76952,symbolic,5/26/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ROJH,WIPL,29.63637,-92.77102,symbolic,5/25/2019,Y,,,"V0, T8",,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"3E, 12d, 9d, 9d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ROJH,LETE,29.63636,-92.77102,symbolic,5/26/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ROJH,LETE,29.63633,-92.77042,symbolic,5/21/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"3E, 4d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ROJH,LETE,29.63632,-92.77045,symbolic,5/21/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"3E, 4d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
